# SDSS J233254.46+151305.4 -- double-peaked broad H-alpha AGN, the Day 8 in-class exercise object
# Source paper: Strateva, I. V., et al. 2003, AJ, 126, 1720, "Double-peaked Low-Ionization Emission Lines in AGN"
#   (arXiv:astro-ph/0307357), Table 1 (main sample), row "SDSS J233254.46+151305.4", z=0.2146, comment "2P" (two prominent peaks)
# Spectrum: SDSS Legacy spectrograph, plate-mjd-fiber = 747-52234-354, run2d=26, DR17
# URL downloaded: https://dr17.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/lite/0747/spec-0747-52234-0354.fits
# Downloaded: 2026-09-16 (file written 2026-09-16)
# Fiber position (PLUG_RA, PLUG_DEC): 353.22693, 15.21817; pipeline CLASS=QSO, ZWARNING=0
# Redshift used for de-redshifting: SDSS pipeline z = 0.2144364 (Z_ERR = 5.57e-05) from HDU2 of the spec file
# wave_rest_A: rest-frame wavelength in Angstrom, IN AIR (vacuum->air by the IAU/Morton 1991 formula used in the SDSS docs, then /(1+z))
# flux: observed flux in SDSS units, 1e-17 erg/s/cm^2/A; flux_err: 1/sqrt(ivar); pixels with ivar == 0 dropped (0 of 465)
# Window: rest-frame 6200-6900 A (465 pixels). Data are public: SDSS DR17 (https://www.sdss.org/dr17/); SDSS-IV acknowledgement applies.
wave_rest_A,flux,flux_err
6757.803,23.1431,0.9865
6759.361,24.2541,0.9768
6760.916,21.9954,0.9410
6762.472,20.5247,0.9460
6764.031,21.7122,0.9747
6765.587,20.7933,0.9514
6767.147,20.9794,0.9426
6768.704,21.1982,0.9443
6770.265,22.3781,0.9559
6771.823,22.5817,0.9573
6773.380,20.6982,0.9390
6774.942,19.6988,0.9209
6776.501,20.9878,0.9308
6778.064,21.4319,0.9356
6779.623,19.9003,0.9091
6781.186,20.9694,0.9248
6782.746,22.0565,0.9444
6784.307,21.3247,0.9345
6785.871,21.3704,0.9504
6787.432,22.0484,0.9571
6788.997,19.8906,0.9209
6790.559,21.6353,0.9498
6792.125,20.5143,0.9421
6793.688,19.8713,0.9177
6795.250,21.5631,0.9549
6796.817,21.0391,0.9633
6798.381,21.0080,0.9477
6799.949,20.5855,0.9265
6801.513,19.7474,0.9078
6803.081,20.8295,0.9428
6804.646,19.8162,0.9448
6806.212,19.7275,0.9762
6807.781,21.8994,1.1753
6809.348,21.6170,1.1887
6810.918,20.4856,0.9411
6812.485,19.9789,0.9593
6814.056,20.8039,1.0714
6815.623,19.8054,1.2284
6817.195,21.4343,1.4700
6818.763,21.2109,1.4181
6820.332,21.3876,1.2545
6821.905,21.7940,1.2715
6823.474,19.2959,1.5529
6825.047,21.1355,1.5787
6826.617,20.9892,1.2042
6828.192,23.0627,1.0862
6829.763,20.4278,1.2045
6831.334,22.0335,1.5845
6832.909,23.2446,1.8359
6834.481,21.8128,1.5730
6836.057,23.9091,1.1334
6837.630,18.9784,0.9922
6839.206,21.4068,0.9963
6840.780,18.5937,1.0582
6842.353,19.9785,1.2320
6843.931,19.9517,1.1797
6845.506,21.3498,1.0527
6847.084,22.6480,1.0392
6848.659,19.2469,0.9981
6850.239,21.1492,1.0079
6851.815,21.4990,1.0015
6853.391,18.8337,0.9390
6854.971,20.4976,0.9421
6856.548,19.1411,0.9296
6858.129,20.0857,0.9616
6859.707,20.5465,0.9696
6861.289,19.1605,0.9511
6862.867,20.1300,0.9636
6864.446,19.5733,0.9673
6866.029,19.6504,1.0085
6867.609,22.8586,1.3638
6869.192,20.5860,2.4354
6870.772,16.0423,2.7436
6872.357,24.4235,1.8293
6873.938,19.9027,1.2195
6875.519,21.4890,1.2865
6877.105,23.0670,1.5197
6878.687,21.1396,1.8217
6880.273,21.2995,1.4179
6881.856,20.4633,0.9969
6883.443,20.3471,1.0249
6885.026,18.8277,1.1193
6886.610,19.6586,1.3568
6888.198,22.0540,1.2946
6889.783,22.7978,1.0955
6891.372,20.8645,0.9879
6892.957,19.1144,0.9621
6894.546,18.8576,0.9640
6896.133,20.4139,0.9902
6897.719,19.8635,1.0001
6899.310,19.6723,1.1348
