# SDSS J142754.77+635448.4 -- double-peaked broad H-alpha AGN (disk-emitter candidate)
# Source paper: Strateva, I. V., et al. 2003, AJ, 126, 1720, "Double-peaked Low-Ionization Emission Lines in AGN"
#   (arXiv:astro-ph/0307357), Table 1 (main sample), row "SDSS J142754.77+635448.4", z=0.1453, comment "2P" (two prominent peaks)
# Spectrum: SDSS Legacy spectrograph, plate-mjd-fiber = 499-51988-157, run2d=26, DR17 (identical to the DR7 reduction)
# URL downloaded: https://dr17.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/lite/0499/spec-0499-51988-0157.fits
# Downloaded: 2026-09-16
# Fiber position (PLUG_RA, PLUG_DEC): 216.97822, 63.91346; pipeline CLASS=QSO, ZWARNING=0
# Redshift used for de-redshifting: SDSS pipeline z = 0.1460371 (Z_ERR = 3.03e-05) from HDU2 of the spec file
# wave_rest_A: rest-frame wavelength in Angstrom, IN AIR. The SDSS pipeline loglam is vacuum; converted vacuum->air with the
#   IAU (Morton 1991) formula used in the SDSS docs, air = vac/(1 + 2.735182e-4 + 131.4182/vac^2 + 2.76249e8/vac^4), then divided by (1+z).
#   So the narrow lines fall near the familiar air values (H-alpha 6562.8, [N II] 6548.0/6583.5, [S II] 6716.4/6730.8).
#   NOTE: the pipeline z is driven by the broad-line template and is ~0.0005 above the narrow-line redshift, so in this frame the
#   narrow peaks sit ~3 A blueward of those values (measured: narrow H-alpha peak 6559.7, [N II] 6583 peak 6580.8). A +/-8 A mask
#   at the nominal air wavelengths still covers them; a +/-12 A mask or a -3 A shift gives the same 1-vs-2-Gaussian verdict.
# flux: observed flux in SDSS units, 1e-17 erg/s/cm^2/A (no Galactic-extinction or host-galaxy correction applied)
# flux_err: 1/sqrt(ivar) in the same units; pixels with ivar == 0 were dropped (0 of 464 in this window)
# Window: rest-frame 6200-6900 A (464 pixels). Data are public: SDSS DR17 (https://www.sdss.org/dr17/). Acknowledgement per
#   https://www.sdss.org/collaboration/citing-sdss/ ("Funding for the Sloan Digital Sky Survey IV has been provided by the Alfred P. Sloan Foundation, ...").
wave_rest_A,flux,flux_err
6559.662,48.8815,0.8729
6561.175,48.7065,0.8689
6562.684,46.8445,0.9150
6564.194,46.3822,1.0541
6565.708,47.4927,1.0961
6567.218,43.9698,0.8946
6568.732,44.2498,0.8327
6570.244,45.1267,0.8599
6571.759,45.1806,0.8668
6573.270,46.1673,0.8463
6574.783,47.6377,0.8578
6576.299,52.6520,0.9167
6577.812,52.2911,1.0154
6579.328,55.4745,1.0564
6580.842,55.7671,0.9558
6582.360,53.4129,0.9166
6583.874,50.9078,0.8874
6585.388,48.7982,0.8620
6586.907,46.7644,0.8503
6588.422,46.7720,0.8333
6589.942,45.4333,0.8216
6591.458,45.4425,0.8429
6592.978,45.2069,0.8679
6594.494,44.2181,0.8655
6596.011,44.0649,0.8357
6597.532,43.9634,0.8034
6599.050,43.6958,0.7976
6600.572,44.3166,0.8093
6602.090,44.6550,0.8169
6603.613,43.1529,0.8079
6605.132,43.3347,0.8583
6606.655,44.2310,0.9313
6608.175,44.1782,0.9227
6609.695,43.1592,0.8491
6611.219,43.1318,0.8081
6612.740,42.6364,0.7913
6614.265,41.7723,0.7807
6615.787,42.0507,0.7837
6617.312,43.3807,0.8115
6618.835,43.5690,0.8387
6620.357,43.3948,0.8336
6621.884,43.9147,0.8141
6623.407,43.8122,0.8091
6624.935,44.1589,0.8365
6626.459,44.0130,0.9150
6627.987,42.5721,1.0574
6629.512,44.2362,1.2705
6631.037,45.0401,1.3979
6632.566,41.9629,1.3963
6634.092,42.6696,1.4396
6635.621,46.7315,1.5248
6637.148,45.0067,1.4436
6638.679,42.5099,1.3230
6640.206,44.4380,1.2456
6641.733,43.4898,1.1315
6643.265,42.3422,1.0247
6644.793,42.2723,0.9511
6646.325,42.3390,0.8969
6647.854,41.6428,0.8690
6649.387,40.6723,0.8812
6650.917,40.1515,0.9298
6652.447,40.6387,0.9770
6653.981,38.4380,1.0373
6655.512,38.8041,1.1289
6657.047,38.8425,1.1003
6658.578,36.5471,1.0139
6660.114,37.0666,0.9319
6661.646,36.9898,0.9057
6663.178,35.4644,0.8806
6664.715,35.3361,0.8430
6666.248,35.9736,0.8736
6667.785,33.4774,0.8066
6669.319,33.4130,0.7846
6670.857,32.9126,0.7953
6672.392,33.3763,0.7627
6673.927,32.3737,0.7647
6675.466,32.3398,0.7741
6677.001,33.9571,0.7725
6678.541,32.1838,0.7593
6680.078,31.0612,0.7223
6681.618,31.5427,0.6906
6683.155,30.8352,0.7073
6684.693,31.8814,0.7535
6686.234,31.8288,0.7483
6687.772,30.7099,0.7154
6689.314,30.6673,0.6848
6690.853,30.3331,0.6674
6692.396,30.7950,0.6721
6693.936,30.7299,0.6695
6695.476,30.2119,0.6502
6697.020,29.3728,0.6372
6698.560,30.2131,0.6505
6700.105,30.9109,0.6652
6701.646,30.8184,0.6760
6703.192,29.7206,0.6767
6704.734,29.8630,0.6786
6706.276,31.0400,0.6784
6707.823,29.5641,0.6617
6709.366,31.0458,0.6726
6710.913,31.0566,0.6766
6712.457,31.1086,0.6804
6714.005,29.7844,0.6591
6715.549,29.7828,0.6616
6717.094,29.9983,0.6733
6718.643,31.1947,0.6891
6720.189,30.2958,0.6633
6721.738,30.6278,0.6509
6723.285,29.7833,0.6370
6724.835,30.0591,0.6357
6726.382,30.7460,0.6652
6727.933,30.2742,0.8516
6729.481,32.5197,1.0378
6731.029,32.0755,1.1112
6732.581,27.0287,1.1661
6734.130,30.4401,1.0717
6735.683,26.8813,0.8261
6737.233,28.3015,0.6880
6738.786,28.4785,0.6982
6740.336,29.2487,0.7815
6741.887,29.1048,0.7837
6743.442,29.1471,0.6907
6744.993,28.1997,0.6409
6746.548,28.5554,0.6365
6748.100,28.5490,0.6464
6749.657,28.5918,0.6539
6751.209,28.4387,0.6495
6752.762,29.2819,0.6465
6754.320,28.5209,0.6393
6755.873,28.9228,0.6372
6757.431,29.5130,0.6491
6758.986,28.8339,0.6801
6760.545,27.8718,0.8988
6762.100,26.9772,1.4193
6763.655,31.3753,1.5310
6765.215,26.1994,0.9121
6766.771,27.5745,0.6990
6768.332,28.7005,0.6719
6769.889,29.0483,0.9183
6771.450,29.7868,1.0263
6773.008,28.8982,0.7918
6774.566,29.1558,0.6621
6776.128,28.7038,0.6501
6777.687,28.8678,0.6443
6779.250,28.0438,0.6401
6780.809,28.0452,0.6808
6782.373,28.1222,0.7690
6783.933,27.9016,0.7596
6785.494,27.5215,0.7062
6787.059,27.4112,0.7212
6788.620,27.5709,0.8032
6790.186,27.0783,0.7320
6791.748,27.0190,0.6390
6793.314,28.1416,0.6379
6794.877,28.4916,0.6457
6796.440,28.2958,0.6555
6798.007,27.4236,0.7848
6799.571,28.4301,1.1287
6801.139,30.8945,1.2391
6802.703,26.4385,0.8806
6804.272,27.6339,0.6786
6805.837,28.7148,0.6607
6807.403,29.0465,0.6534
6808.973,27.9681,0.6329
6810.539,28.6964,0.6785
6812.110,28.0951,0.8286
6813.677,28.2928,0.8213
6815.248,28.7552,0.7720
6816.816,27.5502,0.6804
6818.384,28.1153,0.6744
6819.957,28.4180,0.6575
6821.525,27.9649,0.7241
6823.099,28.4036,1.0481
6824.668,29.7879,1.3714
6826.242,29.8701,1.0679
6827.812,26.0079,0.7281
6829.383,27.7139,0.6408
6830.958,27.6347,0.6454
6832.529,27.5860,0.6375
6834.105,27.0330,0.6293
6835.677,27.5574,0.6311
6837.253,27.8379,0.6203
6838.826,26.3554,0.6452
6840.400,27.1089,0.8024
6841.977,29.1961,0.8918
6843.551,27.1347,0.7376
6845.129,27.6386,0.6460
6846.704,27.6371,0.6458
6848.283,26.8012,0.7324
6849.858,27.8516,0.9037
6851.438,23.9451,1.2837
6853.014,30.4639,1.4223
