# Riess et al. 2011, ApJ 730, 119 (R11), Table 2: HST/WFC3 Cepheids in SN Ia host galaxies and NGC 4258, as processed for
# ASTR 596 Spring 2020 / 2023 (GN, week 3): m = F160W - 0.41 (V-I), merr = F160W error, P in days, logO_H = log[O/H], bias = R11 crowding correction already applied.
# Copied 2026-09-20 from ~/work/ast596_2023_Spring/notes/03/R11ceph.dat (Cepheid 102255 excluded there for merr = 99). 646 rows, nine galaxies (NGC 4258 anchor + eight SN Ia hosts).
# rej_flag added 2026-09-20 from VizieR J/ApJ/730/119/table2 column Flag: ok | rej (R11 Sec. 3: > 0.75 mag or > 2.5 sigma from the P-L fit, Chauvenet, iterated; mostly blends) | lowP | rej_lowP. NGC 4258: 48 of 166 flagged rej.
id,gal,m,merr,P,logO_H,bias,rej_flag
8610,1309,25.601200,0.660000,23.220000,-2.900000,1.100000,lowP
6631,1309,24.526300,0.340000,24.810000,-3.240000,0.060000,rej_lowP
6737,1309,25.513000,0.590000,25.450000,-3.230000,0.380000,lowP
44606,1309,26.484200,0.630000,25.840000,-3.170000,0.860000,rej_lowP
41542,1309,24.434300,0.530000,27.710000,-3.020000,1.210000,lowP
2343,1309,24.384000,0.230000,29.610000,-3.140000,0.180000,rej_lowP
23076,1309,24.633800,0.490000,30.660000,-3.000000,0.380000,lowP
7224,1309,25.693800,0.780000,30.900000,-3.300000,0.830000,lowP
50024,1309,24.350000,0.380000,31.690000,-3.210000,0.260000,lowP
59151,1309,24.118100,0.320000,32.610000,-3.260000,0.170000,rej_lowP
60583,1309,25.572800,0.660000,32.950000,-2.870000,0.860000,lowP
4322,1309,25.058100,0.230000,33.250000,-3.260000,0.030000,lowP
3108,1309,25.130700,0.300000,33.710000,-3.200000,0.100000,lowP
9099,1309,24.315300,0.720000,33.740000,-2.900000,0.900000,lowP
30771,1309,23.784300,0.170000,33.740000,-3.430000,0.030000,rej_lowP
14063,1309,24.408900,0.350000,34.070000,-2.900000,0.940000,lowP
59846,1309,24.050200,0.670000,35.120000,-2.890000,1.030000,rej_lowP
7868,1309,25.210200,0.350000,36.170000,-3.150000,0.170000,lowP
7989,1309,24.185100,0.260000,39.410000,-3.150000,0.050000,ok
27980,1309,24.621300,0.600000,39.920000,-3.070000,0.520000,ok
52975,1309,25.258400,0.170000,40.520000,-3.440000,0.030000,rej
7994,1309,24.985100,0.610000,40.680000,-3.190000,0.450000,ok
1166,1309,24.669000,0.210000,41.110000,-3.180000,0.080000,ok
76534,1309,25.295800,0.770000,41.860000,-2.910000,1.450000,ok
22918,1309,23.943800,0.430000,42.030000,-3.010000,0.450000,ok
2032,1309,24.154800,0.240000,42.530000,-3.150000,0.050000,ok
48747,1309,24.611500,0.160000,42.680000,-3.370000,0.030000,ok
67393,1309,24.661500,0.670000,42.740000,-2.770000,1.080000,ok
58298,1309,24.554300,0.210000,43.520000,-3.250000,0.050000,ok
7331,1309,24.516800,0.810000,44.580000,-2.920000,0.980000,ok
1732,1309,24.434800,0.210000,45.000000,-3.160000,0.070000,ok
19368,1309,25.926100,0.670000,45.250000,-3.000000,0.380000,rej
49584,1309,25.430200,0.580000,45.670000,-3.170000,0.520000,rej
16143,1309,24.640000,0.370000,46.740000,-3.030000,0.370000,ok
15346,1309,23.847900,0.540000,46.850000,-2.960000,0.310000,ok
52566,1309,24.482700,0.380000,47.410000,-3.300000,0.160000,ok
52170,1309,24.496400,0.350000,47.990000,-3.270000,0.240000,ok
4882,1309,24.932500,0.190000,48.910000,-3.220000,0.000000,rej
68817,1309,24.892700,0.570000,49.930000,-2.890000,0.780000,ok
15318,1309,24.398400,0.180000,51.450000,-3.160000,0.050000,ok
71911,1309,24.588400,0.690000,51.990000,-2.930000,0.720000,ok
28132,1309,25.011800,0.650000,52.240000,-3.000000,0.500000,rej
6581,1309,24.286100,0.200000,58.980000,-3.180000,0.070000,ok
6542,1309,24.121000,0.210000,59.120000,-3.210000,0.040000,ok
53187,1309,24.616300,0.290000,59.750000,-3.320000,0.110000,ok
69494,1309,23.962800,0.330000,60.170000,-3.030000,0.260000,ok
19918,1309,24.627900,0.360000,64.940000,-3.020000,0.220000,ok
64757,1309,23.573100,0.370000,65.020000,-2.990000,0.180000,ok
13102,1309,24.393800,0.260000,66.340000,-3.070000,0.190000,ok
45088,1309,24.120200,0.560000,71.400000,-3.120000,0.320000,ok
3836,1309,23.913300,0.170000,73.270000,-3.100000,0.070000,ok
7702,1309,23.767400,0.220000,73.760000,-3.260000,0.020000,ok
23616,1309,23.971000,0.120000,82.130000,-3.330000,0.010000,rej
4908,1309,23.596400,0.270000,97.890000,-2.980000,0.080000,ok
835998,5584,23.104200,0.140000,97.750000,-3.190000,0.020000,rej
625643,5584,23.630300,0.230000,93.910000,-3.150000,0.080000,rej
414458,5584,22.746800,0.210000,91.510000,-3.120000,0.050000,ok
325718,5584,22.712600,0.180000,88.510000,-3.200000,0.060000,ok
449432,5584,22.967700,0.230000,84.690000,-3.170000,0.060000,ok
735368,5584,22.703100,0.160000,81.350000,-3.260000,0.050000,ok
395114,5584,23.385200,0.230000,81.190000,-3.050000,0.120000,ok
172880,5584,22.675700,0.160000,79.480000,-3.270000,0.070000,ok
354807,5584,23.350300,0.200000,75.260000,-3.080000,0.070000,ok
200686,5584,23.070600,0.200000,74.800000,-3.240000,0.080000,ok
801059,5584,23.023600,0.170000,71.460000,-3.140000,0.090000,ok
781327,5584,24.222300,0.380000,68.170000,-3.040000,0.200000,rej
1028620,5584,23.218500,0.140000,65.820000,-3.300000,0.070000,ok
325206,5584,23.528000,0.190000,64.080000,-3.130000,0.080000,ok
185292,5584,23.521000,0.250000,63.110000,-3.300000,0.070000,ok
715226,5584,23.799000,0.340000,60.540000,-2.990000,0.160000,ok
607520,5584,23.304900,0.240000,60.040000,-3.130000,0.140000,ok
758598,5584,24.508000,0.430000,58.780000,-3.050000,0.210000,rej
628911,5584,23.517700,0.290000,57.830000,-3.130000,0.240000,ok
770520,5584,22.712400,0.140000,57.730000,-3.300000,0.040000,rej
111577,5584,23.270500,0.230000,56.720000,-3.330000,0.120000,ok
823580,5584,23.122400,0.230000,56.170000,-3.090000,0.060000,ok
473829,5584,23.301800,0.260000,55.130000,-3.180000,0.100000,ok
673309,5584,22.993900,0.200000,53.560000,-3.160000,0.130000,ok
549082,5584,23.719500,0.330000,52.160000,-2.910000,0.280000,ok
502797,5584,23.170300,0.240000,51.920000,-3.000000,0.170000,ok
858989,5584,22.624900,0.200000,51.770000,-3.130000,0.090000,rej
766511,5584,24.092600,0.230000,49.350000,-3.320000,0.080000,ok
775000,5584,23.355000,0.270000,47.940000,-3.230000,0.150000,ok
891587,5584,23.359500,0.210000,47.860000,-3.140000,0.140000,ok
